0.100  0.73881471 0.5474477023 
0.200  0.9284559631 0.3100605726 
0.300  0.9685318195 0.208816304 
0.400  0.9829131076 0.1546659603 
0.500  0.9896243754 0.1207069452 
0.600  0.9932676351 0.09717915781 
0.700  0.9955686412 0.07972986152 
0.800  0.9969108947 0.0661155754 
0.900  0.9978696473 0.05505157105 
1.000  0.9986366493 0.04579002148 
1.100  0.9990201503 0.03785155042 
1.200  0.9994036514 0.03089100695 
1.300  0.9997871524 0.02469746552 
1.400  0.9999789029 0.01909835067 
1.500  0.9999789029 0.01398244709 
1.600  1.000170653 0.009255797055 
1.700  1.000170653 0.00485128787 
1.800  1.000362404 0.0007136953934 
1.900  1.000362404 -0.003198398485 
2.000  1.000362404 -0.006916440849 
2.100  1.000362404 -0.01047149528 
2.200  1.000170653 -0.01388273683 
2.300  1.000170653 -0.01717125805 
2.400  1.000170653 -0.02034472897 
2.500  1.000170653 -0.02343191216 
2.600  0.9999789029 -0.02644239515 
2.700  0.9999789029 -0.02935700288 
2.800  0.9999789029 -0.03221408546 
2.900  0.9997871524 -0.03501364289 
3.000  0.9997871524 -0.03775567516 
3.100  0.9995954019 -0.04045935734 
3.200  0.9994036514 -0.04310551436 
3.300  0.9994036514 -0.04571332127 
3.400  0.9992119009 -0.04828277809 
3.500  0.9992119009 -0.05083305986 
3.600  0.9990201503 -0.05334499152 
3.700  0.9988283998 -0.05581857308 
3.800  0.9986366493 -0.05827297959 
3.900  0.9986366493 -0.060689036 
4.000  0.9984448988 -0.06310509241 
4.100  0.9982531483 -0.06548279872 
4.200  0.9980613978 -0.06786050503 
4.300  0.9978696473 -0.07019986124 
4.400  0.9978696473 -0.07253921744 
4.500  0.9976778968 -0.07484022355 
4.600  0.9974861463 -0.07714122965 
4.700  0.9972943958 -0.07944223576 
4.800  0.9971026453 -0.08170489176 
4.900  0.9969108947 -0.08396754776 
5.000  0.9967191442 -0.08621102871 
5.100  0.9965273937 -0.08845450966 
5.200  0.9963356432 -0.09067881557 
5.300  0.9959521422 -0.09290312147 
5.400  0.9957603917 -0.09510825232 
5.500  0.9955686412 -0.09731338317 
5.600  0.9953768907 -0.09949933897 
5.700  0.9951851402 -0.1016852948 
5.800  0.9949933897 -0.1038712506 
5.900  0.9946098886 -0.1060380313 
6.000  0.9944181381 -0.108185637 
6.100  0.9942263876 -0.1103524178 
6.200  0.9940346371 -0.1125000235 
6.300  0.9936511361 -0.1146476292 
6.400  0.9934593856 -0.1167760598 
6.500  0.9932676351 -0.1189044904 
6.600  0.9928841341 -0.1210329211 
6.700  0.9926923836 -0.1231613517 
6.800  0.9923088825 -0.1252706073 
6.900  0.992117132 -0.1273798629 
7.000  0.9919253815 -0.1294891185 
7.100  0.9915418805 -0.1315983741 
7.200  0.99135013 -0.1336884547 
7.300  0.990966629 -0.1357785352 
7.400  0.990583128 -0.1378686158 
7.500  0.9903913775 -0.1399586963 
7.600  0.9900078764 -0.1420487768 
7.700  0.9898161259 -0.1441196823 
7.800  0.9894326249 -0.1461905878 
7.900  0.9890491239 -0.1482614933 
8.000  0.9888573734 -0.1503323988 
8.100  0.9884738724 -0.1524033043 
8.200  0.9880903713 -0.1544550348 
8.300  0.9878986208 -0.1565259403 
8.400  0.9875151198 -0.1585776707 
8.500  0.9871316188 -0.1606294011 
8.600  0.9867481178 -0.1626811316 
8.700  0.9863646168 -0.164732862 
8.800  0.9861728663 -0.1667654174 
8.900  0.9857893652 -0.1688171479 
9.000  0.9854058642 -0.1708497033 
9.100  0.9850223632 -0.1728822586 
9.200  0.9846388622 -0.174914814 
9.300  0.9842553612 -0.1769473694 
9.400  0.9838718602 -0.1789799248 
9.500  0.9834883591 -0.1810124802 
9.600  0.9831048581 -0.1830258606 
9.700  0.9827213571 -0.1850584159 
9.800  0.9823378561 -0.1870717963 
9.900  0.9819543551 -0.1890851766 
10.000  0.9815708541 -0.191098557 
10.100  0.981187353 -0.1930927623 
10.200  0.9806121015 -0.1952020179 
10.300  0.9802286005 -0.1971195229 
10.400  0.9798450995 -0.1992287785 
10.500  0.9794615985 -0.2011462836 
10.600  0.9790780974 -0.2030637887 
10.700  0.9785028459 -0.2051730443 
10.800  0.9781193449 -0.2070905494 
10.900  0.9777358439 -0.209199805 
11.000  0.9773523429 -0.2111173101 
11.100  0.9767770913 -0.2132265657 
11.200  0.9763935903 -0.2151440708 
11.300  0.9760100893 -0.2170615759 
11.400  0.9754348378 -0.2191708314 
11.500  0.9750513368 -0.2210883365 
11.600  0.9744760852 -0.2230058416 
11.700  0.9740925842 -0.2251150972 
11.800  0.9735173327 -0.2270326023 
11.900  0.9731338317 -0.2289501074 
12.000  0.9725585801 -0.231059363 
12.100  0.9721750791 -0.2329768681 
12.200  0.9715998276 -0.2348943732 
12.300  0.9712163266 -0.2368118782 
12.400  0.9706410751 -0.2389211338 
12.500  0.970257574 -0.2408386389 
12.600  0.9696823225 -0.242756144 
12.700  0.969107071 -0.2446736491 
12.800  0.96872357 -0.2467829047 
12.900  0.9681483184 -0.2487004098 
13.000  0.9675730669 -0.2506179149 
13.100  0.9669978154 -0.25253542 
13.200  0.9666143144 -0.2546446756 
13.300  0.9660390628 -0.2565621806 
13.400  0.9654638113 -0.2584796857 
13.500  0.9648885598 -0.2603971908 
13.600  0.9643133083 -0.2623146959 
13.700  0.9639298073 -0.264232201 
13.800  0.9633545557 -0.2663414566 
13.900  0.9627793042 -0.2682589617 
14.000  0.9622040527 -0.2701764668 
14.100  0.9616288011 -0.2720939718 
14.200  0.9610535496 -0.2740114769 
14.300  0.9604782981 -0.275928982 
14.400  0.9599030466 -0.2778464871 
14.500  0.959327795 -0.2797639922 
14.600  0.9587525435 -0.2816814973 
14.700  0.958177292 -0.2835990024 
14.800  0.9576020405 -0.2855165075 
14.900  0.9570267889 -0.2876257631 
15.000  0.9562597869 -0.2895432681 
15.100  0.9556845354 -0.2914607732 
15.200  0.9551092839 -0.2933782783 
15.300  0.9545340323 -0.2952957834 
15.400  0.9539587808 -0.2972132885 
15.500  0.9533835293 -0.2991307936 
15.600  0.9526165272 -0.3010482987 
15.700  0.9520412757 -0.3029658038 
15.800  0.9514660242 -0.3048833088 
15.900  0.9506990221 -0.3068008139 
16.000  0.9501237706 -0.3085265685 
16.100  0.9495485191 -0.3104440736 
16.200  0.9487815171 -0.3123615787 
16.300  0.9482062655 -0.3142790838 
16.400  0.947631014 -0.3161965889 
16.500  0.946864012 -0.3181140939 
16.600  0.9462887604 -0.320031599 
16.700  0.9455217584 -0.3219491041 
16.800  0.9449465069 -0.3238666092 
16.900  0.9441795049 -0.3257841143 
17.000  0.9436042533 -0.3275098689 
17.100  0.9428372513 -0.329427374 
17.200  0.9422619998 -0.331344879 
17.300  0.9414949977 -0.3332623841 
17.400  0.9407279957 -0.3351798892 
17.500  0.9401527442 -0.3370973943 
17.600  0.9393857421 -0.3388231489 
17.700  0.9388104906 -0.340740654 
17.800  0.9380434886 -0.3426581591 
17.900  0.9372764865 -0.3445756641 
18.000  0.9365094845 -0.3464931692 
18.100  0.935934233 -0.3482189238 
18.200  0.9351672309 -0.3501364289 
18.300  0.9344002289 -0.352053934 
18.400  0.9336332269 -0.3539714391 
18.500  0.9328662248 -0.3556971936 
18.600  0.9322909733 -0.3576146987 
18.700  0.9315239713 -0.3595322038 
18.800  0.9307569692 -0.3614497089 
18.900  0.9299899672 -0.3631754635 
19.000  0.9292229652 -0.3650929686 
19.100  0.9284559631 -0.3670104737 
19.200  0.9276889611 -0.3687362282 
19.300  0.9269219591 -0.3706537333 
19.400  0.926154957 -0.3725712384 
19.500  0.925387955 -0.374296993 
19.600  0.924620953 -0.3762144981 
19.700  0.9238539509 -0.3779402527 
19.800  0.9230869489 -0.3798577577 
19.900  0.9223199469 -0.3817752628 
20.000  0.9215529448 -0.3835010174 
20.100  0.9207859428 -0.3854185225 
20.200  0.9200189408 -0.3871442771 
20.300  0.9190601882 -0.3890617822 
20.400  0.9182931862 -0.3907875367 
20.500  0.9175261841 -0.3927050418 
20.600  0.9167591821 -0.3946225469 
20.700  0.9158004296 -0.3963483015 
20.800  0.9150334275 -0.3982658066 
20.900  0.9142664255 -0.3999915612 
21.000  0.9134994235 -0.4019090662 
21.100  0.9125406709 -0.4036348208 
21.200  0.9117736689 -0.4055523259 
21.300  0.9110066668 -0.4072780805 
21.400  0.9100479143 -0.4090038351 
21.500  0.9092809123 -0.4109213402 
21.600  0.9083221597 -0.4126470947 
21.700  0.9075551577 -0.4145645998 
21.800  0.9065964051 -0.4162903544 
21.900  0.9058294031 -0.4182078595 
22.000  0.9050624011 -0.4199336141 
22.100  0.9041036485 -0.4216593686 
22.200  0.903144896 -0.4235768737 
22.300  0.902377894 -0.4253026283 
22.400  0.9014191414 -0.4270283829 
22.500  0.9006521394 -0.428945888 
22.600  0.8996933868 -0.4306716425 
22.700  0.8989263848 -0.4323973971 
22.800  0.8979676323 -0.4343149022 
22.900  0.8970088797 -0.4360406568 
23.000  0.8962418777 -0.4377664114 
23.100  0.8952831251 -0.4396839165 
23.200  0.8943243726 -0.441409671 
23.300  0.89336562 -0.4431354256 
23.400  0.892598618 -0.4448611802 
23.500  0.8916398655 -0.4467786853 
23.600  0.8906811129 -0.4485044399 
23.700  0.8897223604 -0.4502301944 
23.800  0.8887636078 -0.451955949 
23.900  0.8879966058 -0.4536817036 
24.000  0.8870378533 -0.4555992087 
24.100  0.8860791007 -0.4573249633 
24.200  0.8851203482 -0.4590507178 
24.300  0.8841615956 -0.4607764724 
24.400  0.8832028431 -0.462502227 
24.500  0.8822440905 -0.4642279816 
24.600  0.881285338 -0.4659537361 
24.700  0.8803265855 -0.4678712412 
24.800  0.8793678329 -0.4695969958 
24.900  0.8784090804 -0.4713227504 
25.000  0.8774503278 -0.473048505 
25.100  0.8764915753 -0.4747742595 
25.200  0.8755328227 -0.4765000141 
25.300  0.8745740702 -0.4782257687 
25.400  0.8736153177 -0.4799515233 
25.500  0.8724648146 -0.4816772779 
25.600  0.8715060621 -0.4834030324 
25.700  0.8705473095 -0.485128787 
25.800  0.869588557 -0.4868545416 
25.900  0.8686298044 -0.4885802962 
26.000  0.8674793014 -0.4903060508 
26.100  0.8665205488 -0.4920318053 
26.200  0.8655617963 -0.4937575599 
26.300  0.8646030437 -0.4954833145 
26.400  0.8634525407 -0.4972090691 
26.500  0.8624937881 -0.4989348236 
26.600  0.8615350356 -0.5004688277 
26.700  0.8603845326 -0.5021945823 
26.800  0.85942578 -0.5039203369 
26.900  0.858275277 -0.5056460915 
27.000  0.8573165244 -0.507371846 
27.100  0.8563577719 -0.5090976006 
27.200  0.8552072688 -0.5108233552 
27.300  0.8542485163 -0.5123573593 
27.400  0.8530980132 -0.5140831138 
27.500  0.8521392607 -0.5158088684 
27.600  0.8509887576 -0.517534623 
27.700  0.8500300051 -0.5192603776 
27.800  0.848879502 -0.5207943816 
